Day,StartTime,EndTime,CourseID,CourseName,Type,InstructorID,Instructor,Room,Sections,StudentCount
Monday,10:45 AM,12:15 PM,ECE111,Digital Logic Design,Lecture,P08,Prof. Ahmed Allam,B07 G.01,"CSIT-1-s4, CSIT-1-s5, CSIT-1-s6",75
Monday,10:45 AM,12:15 PM,LRA101,Japanese Culture,Lecture,P40,Dr. Sherine Elmotasem,B26 F1.10,"CSIT-1-s1, CSIT-1-s2, CSIT-1-s3",75
Monday,10:45 AM,12:15 PM,AID311,Mathematics of Data Science,Lecture,P05,Dr. Ahmed Anter,B26 G.08,"CSIT-3-AID-s1, CSIT-3-AID-s2, CSIT-3-AID-s3",75
Monday,10:45 AM,12:15 PM,AID413,Data Security,Lecture,P37,Dr. Samir,B26 G-22 ,"CSIT-4-AID-s1, CSIT-4-AID-s2, CSIT-4-AID-s3",75
Monday,10:45 AM,12:15 PM,MTH212,Probability and Statistics,Lab,A01,BAS Department Staff,B25 G.17,CSIT-2-s3,25
Monday,10:45 AM,12:15 PM,ECE324,Digital Signal Processing,Lab,A02,ECE Department Staff,B07 F1.22,CSIT-3-CSC-s1,25
Monday,10:45 AM,12:15 PM,BIF412,Management and Design of Health Care Systems,Lab,A26,Eng. Zayd Tarek,B08 G.41,CSIT-4-BIF-s1,15
Monday,10:45 AM,12:15 PM,CSE214,Computer Organization,Lab,A08,Eng. Heba Abdelkader,B08 F1.07,CSIT-2-s1,25
Monday,10:45 AM,12:15 PM,CNC111,Networks and Web Programming,Lab,A43,Eng. Ali Sato,B17 G.02,CSIT-2-s7,25
Monday,10:45 AM,12:15 PM,CSC211,Software Engineering,Lab,A12,Eng. Menna Mahmoud,B18 G.07,CSIT-2-s9,25
Monday,10:45 AM,12:15 PM,AID312,Intelligent Systems,Lab,A21,Eng. Salma Waleed,B07 F1.02,CSIT-3-CNC-s3,25
Monday,10:45 AM,12:15 PM,CNC311,Computer Networks,Lab,A15,Eng. Nada Hamdy,B17 G.04,CSIT-3-CSC-s2,15
Monday,10:45 AM,12:15 PM,LRA403,Japanese Language (3),Lab,A38,Prof. Yumi Sato,B17 F1.17,CSIT-2-s4,25
Monday,10:45 AM,12:15 PM,PHY113,Physics 1,Lab,A06,Eng. Fatima Ali,B18 G.12,CSIT-1-s7,25
Monday,10:45 AM,12:15 PM,LRA403,Japanese Language (3),Lab,A40,Prof. Lina Morales,B25 F1.10,CSIT-2-s6,25
Monday,10:45 AM,12:15 PM,CSE214,Computer Organization,Lab,A17,Eng. Omnya Ramadan,B17 F1.13,CSIT-2-s8,25
Monday,10:45 AM,12:15 PM,CNC312,Foundations of Information Systems,Lab,A33,Eng. Hana Tarek,B17 G.20,CSIT-3-CNC-s1,25
Monday,10:45 AM,12:15 PM,CNC418,Software Security,Lecture,P19,Dr. Hataba,B8 Theater,"CSIT-4-CNC-s1, CSIT-4-CNC-s2, CSIT-4-CNC-s3",75
Monday,10:45 AM,12:15 PM,CNC314,Database Systems,Lab,A16,Eng. Nourhan Waleed,B25 F1.11,CSIT-3-BIF-s1,15
Monday,10:45 AM,12:15 PM,CSC412,Software Security,Lab,A42,Eng. Fatima Ali,B26 G.07,CSIT-4-CSC-s1,25
Monday,10:45 AM,12:15 PM,CNC314,Database Systems,Lab,A20,Eng. Salma Alashry,B26 F1.13,CSIT-3-CNC-s2,25
Monday,12:30 PM,2:00 PM,CSE214,Computer Organization,Lecture,P30,Prof. Mostafa Soliman,B07 G.01,"CSIT-2-s4, CSIT-2-s5, CSIT-2-s6",75
Monday,12:30 PM,2:00 PM,MTH212,Probability and Statistics,Lecture,P14,Dr. Ayman Arafa,Hall - Yellow,"CSIT-2-s7, CSIT-2-s8, CSIT-2-s9",75
Monday,12:30 PM,2:00 PM,ECE324,Digital Signal Processing,Lecture,P04,Dr. Ahmed Abdel-Malk,B25 F1-19,"CSIT-3-AID-s1, CSIT-3-AID-s2, CSIT-3-AID-s3",75
Monday,12:30 PM,2:00 PM,CNC314,Database Systems,Lecture,P27,Dr. Mohamed Issa,B26 F1.08,"CSIT-3-BIF-s1, CSIT-3-CNC-s1, CSIT-3-CNC-s2",65
Monday,12:30 PM,2:00 PM,AID427,New Trends in Data Science,Lecture,P06,Dr. Ahmed Arafa,B26 G.08,"CSIT-4-AID-s1, CSIT-4-AID-s2, CSIT-4-AID-s3",75
Monday,12:30 PM,2:00 PM,CSC415,New Trends in Computer Science,Lecture,P29,Dr. Mostafa Mohamed,B9 Theater,"CSIT-4-CSC-s1, CSIT-4-CSC-s2",40
